"ts_rel_days","red","orange","black","N","date","pct_red","pct_orange","pct_black","pct_fake"
24,8539,9223,2011,453945,2016-12-02,0.0188106488671535,0.0203174393373647,0.00443005209882254,0.0435581403033407
7,12821,10297,3766,663866,2016-11-15,0.0193126323685804,0.0155106602838525,0.00567283156540627,0.0404961242178391
15,8721,6250,1701,526710,2016-11-23,0.0165574984336732,0.0118661122819009,0.00322948111864214,0.0316530918342162
-31,16070,9651,3708,522566,2016-10-08,0.0307520963859111,0.0184684805364298,0.0070957544118829,0.0563163313342238
-13,17641,11416,5382,572262,2016-10-26,0.0308267891280567,0.0199489045227536,0.00940478312381392,0.0601804767746242
6,12794,7860,3790,614052,2016-11-14,0.0208353689915512,0.0128002188739716,0.00617211571658426,0.039807703582107
-91,11768,7724,4226,447425,2016-08-09,0.0263016147957758,0.0172632284740459,0.00944515840643683,0.0530100016762586
10,11130,8437,2486,565593,2016-11-18,0.0196784613670961,0.0149170870219398,0.00439538678873324,0.0389909351777692
-23,16362,10018,4520,427481,2016-10-16,0.0382753853387636,0.0234349596824186,0.0105735693516203,0.0722839143728025
-61,13442,6983,2589,438679,2016-09-08,0.0306419956277825,0.0159182454596641,0.00590180975154954,0.0524620508389962
17,8096,5273,2008,319497,2016-11-25,0.0253398310469269,0.0165040673308357,0.00628487904424768,0.0481287774220102
-7,18551,14402,5844,638799,2016-11-01,0.0290404336888442,0.0225454329139526,0.00914841757736001,0.0607342841801568
-84,10810,7518,3221,422059,2016-08-16,0.025612532844934,0.0178126754790207,0.00763163443973473,0.0510568427636894
-46,10209,7265,2389,401441,2016-09-23,0.0254308852359375,0.0180973044606804,0.00595106130166077,0.0494792509982787
14,8630,6108,1874,577495,2016-11-22,0.0149438523277258,0.010576714949913,0.0032450497406904,0.0287656170183292
-54,10536,7959,2239,497630,2016-09-15,0.0211723569720475,0.0159938106625404,0.00449932680907502,0.041665494443663
-85,9887,6614,2218,420919,2016-08-15,0.0234890798467164,0.0157132369885893,0.00526942238292878,0.0444717392182344
-60,9796,9392,2616,390417,2016-09-09,0.0250911205198544,0.0240563295143398,0.00670052789709464,0.0558479779312889
-99,11722,9398,2829,482459,2016-08-01,0.024296365079727,0.0194793754495201,0.00586371069873295,0.04963945122798
11,8863,5946,2191,394697,2016-11-19,0.022455199811501,0.0150647205324591,0.00555109362371642,0.0430710139676765
-90,11426,9375,3733,479278,2016-08-10,0.0238400260391672,0.0195606725115695,0.00778879898514015,0.0511894975358769
-81,9114,7967,2376,374971,2016-08-19,0.0243058796546933,0.0212469764328441,0.00633649002189503,0.0518893461094325
-65,8670,5953,2506,238332,2016-09-04,0.0363778258899351,0.0249777621133545,0.0105147441384287,0.0718703321417183
-56,10544,10980,2184,473378,2016-09-13,0.0222739544296524,0.0231949942751881,0.00461364913451829,0.0500825978393588
-50,12323,7540,2220,441709,2016-09-19,0.0278984580345884,0.0170700619638721,0.00502593336336819,0.0499944533618287
-26,20699,13574,5740,681198,2016-10-13,0.0303861725959266,0.0199266586220159,0.00842633125757856,0.0587391624755211
19,7955,5756,1851,293771,2016-11-27,0.0270789152094659,0.019593492890721,0.00630082615370476,0.0529732342538916
23,8861,7939,1812,515359,2016-12-01,0.0171938396341191,0.0154047954920745,0.00351599564575374,0.0361146307719473
-53,10455,11480,2102,465368,2016-09-16,0.0224660913513606,0.0246686493269842,0.00451685547781541,0.0516515961561603
-34,11118,9468,3023,509811,2016-10-05,0.0218080818185563,0.0185715882944856,0.00592964843834284,0.0463093185513847
-80,8555,6947,2960,256983,2016-08-20,0.0332901398146959,0.0270329165742481,0.0115182716366452,0.0718413280255892
-87,8930,6949,3438,267249,2016-08-13,0.0334145310178897,0.026001968201939,0.0128644073504485,0.0722809065702772
